번호,사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,상세코드,위도,경도,COL1,COL2
214,캠핑 올라,강원도 영월군 주천면 용석리 1281-1번지,강원도 영월군 주천면 황산벌길 186,26207,sea,easycamping,kids,4,420,37.2201805,128.2757564,,
215,허브하우스 금오산오토캠핑장,경상북도 김천시 아포읍 대성리 679-3,경상북도 김천시 아포읍 대성지1길 165,39677,lake,caravan,pet,16,1606,36.1070462,128.274873,,
216,허브하우스 금오산힐링타운,경상북도 김천시 남면 오봉리 1-3,경상북도 김천시 남면 우장길 448,39664,mountain,camping,family,16,1606,36.0999095,128.2753657,,
217,마노아 워터 캠핑장,경상남도 합천군 봉산면 압곡리 107-1번지,경상남도 합천군 봉산면 압곡3길 9,50210,river,glamping,couple,17,1718,35.6420904,128.0576283,,
218,화양동야영장,충청북도 괴산군 청천면 후영리 496번지 화양동야영장,충청북도 괴산군 청천면 화양로 733-38,28059,sea,easycamping,kids,8,801,36.6833793,127.8061643,,
219,힐링스토리펜션야영장,경상북도 영주시 풍기읍 욱금리 202-9번지,경상북도 영주시 풍기읍 삼가로 209,36018,lake,caravan,pet,16,1614,36.906104,128.5208248,,
220,용설호수캠핑장,경기도 안성시 죽산면 용설리 940-8번지,경기도 안성시 죽산면 용설호수길 234,17523,river,glamping,couple,3,313,37.0500595,127.4419098,,
221,송계계곡 숙박단지,충청북도 제천시 한수면 복평리 111,충청북도 제천시 한수면 미륵송계로 1868,27226,mountain,camping,family,8,807,36.9026655,128.0791238,,
222,내리 캠핑장,경기도 평택시 팽성읍 내리 20-3,경기도 평택시 팽성읍 내리길 64-23,17973,sea,easycamping,kids,3,320,36.9743651,127.0310514,,
223,다 그린,강원도 영월군 주천면 판운리 474-1,강원도 영월군 주천면 미다리길 58,26202,lake,caravan,pet,4,420,37.2915396,128.3266012,,
224,초리풍경,경기도 파주시 법원읍 법원리 162-3,경기도 파주시 법원읍 초리골길 180,10826,mountain,camping,family,3,309,37.8537966,126.8917255,,
225,더파인캠핑,경기도 포천시 소흘읍 고모리 144-2,경기도 포천시 소흘읍 죽엽산로 515,11185,river,glamping,couple,3,302,37.788277,127.1654227,,
226,우니메이카 밀양점,경상남도 밀양시 단장면 태룡리 494,경상남도 밀양시 단장면 국전로 78-5,50417,sea,easycamping,kids,17,1706,35.5084659,128.8752574,,
227,팔공 쉼터 야영장,경상북도 군위군 부계면 동산리 734-1,경상북도 군위군 부계면 원효길 57-1,39065,lake,caravan,pet,16,1605,36.0473,128.6593773,,
228,카라반파크 아마존,전라북도 완주군 구이면 항가리 499-2,전라북도 완주군 구이면 신전길 75-96,55362,mountain,camping,family,9,908,35.7198904,127.1092441,,
229,호미곶 고래마을 카라반 펜션,경상북도 포항시 남구 호미곶면 강사리 228-6,경상북도 포항시 남구 호미곶면 고래마을길 8,37929,river,glamping,couple,16,1621,36.03224,129.5775831,,
230,산마루카라반,경기도 포천시 이동면 연곡리 603,경기도 포천시 이동면 화동로1724번길 124-14,11113,sea,easycamping,kids,3,302,37.9950579,127.3745555,,
231,밀양 도깨비방망이 캠핑장,경상남도 밀양시 단장면 안법리 516-1 안법회관,경상남도 밀양시 단장면 단장로 1051,50416,mountain,camping,family,17,1706,35.4848476,128.8509041,,
232,쿠 야영장,경상남도 창원시 마산합포구 구산면 구복리 240,경상남도 창원시 마산합포구 구산면 해양관광로 1767,51783,sea,easycamping,kids,17,1713,35.0752412,128.5670273,,
233,용소유원지 야영장,경상남도 사천시 사남면 계양리 290,경상남도 사천시 사남면 계양길 132,52536,lake,caravan,pet,17,1707,34.9851668,128.1324343,,
234,위더스글램핑,경상남도 창녕군 남지읍 반포리 627-1,경상남도 창녕군 남지읍 박진로 627,50353,river,glamping,couple,17,1712,35.4257982,128.404189,,
235,위더스글램핑,경상남도 창녕군 남지읍 반포리 627-1,경상남도 창녕군 남지읍 박진로 627,50353,sea,easycamping,kids,17,1712,35.4257982,128.404189,,
236,라온힐야영장,경기도 가평군 상면 행현리 492,경기도 가평군 상면 수목원로 224,12448,mountain,camping,family,3,301,37.7587311,127.3612157,,
237,남한산성 캠핑장,경기도 광주시 남한산성면 오전리 24,경기도 광주시 남한산성면 남한산성로 144,12703,river,glamping,couple,3,312,37.4551174,127.2350504,,
238,공둘 캠핑장(02),충청남도 서천군 서면 주항리 211-1,충청남도 서천군 서면 주원로 59,33601,sea,easycamping,kids,7,709,36.1593021,126.5755553,,
239,펫앤트리,충청남도 서산시 팔봉면 호리 301-2,충청남도 서산시 팔봉면 호리중말길 13,31921,lake,caravan,pet,7,708,36.84111,126.3285421,,
240,해밀터,충청북도 괴산군 청천면 이평리 264-23,충청북도 괴산군 청천면 이평4길 23-14,28065,mountain,camping,family,8,801,36.6632095,127.8687455,,
241,몬테비얀코,경기도 포천시 이동면 장암리 46,경기도 포천시 이동면 늠바위길 181,11111,sea,easycamping,kids,3,302,38.0292026,127.3859783,,
